Region;Variables;Inti;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02
Fran;TOT;Ensemble;79,19;79,29;79,66;79,66;79,83;80,03;79,89;80,04;80,45;80,36;80,54;80,5;80,15;80,37;80,73;81,12;81,63;81,68;81,5;81,5;81,65;81,71;81,48;81,57;81,96;82,05;82,4;82,73;82,83;82,82;82,81;83;83,16;83,29;83,29;83,42;83,59;84,18;84,51;84,38;84,28;84,44;84,35;84,56;84,89;85,07;85,17;85,26;85,25;85,62;85,96;86,19;86,5;86,54;86,39;86,57;86,65;86,88;86,93;87,02;86,53;87,07;87,63;87,79;87,85;87,95;87,82;88,16;88,5;88,49;88,3;88,4;88,32;88,65;88,91;89,28;89,67;89,66;89,51;89,81;89,61;89,41;89,51;89,71;89,39;89,57;89,96;90,39;90,62;90,74;90,5;90,87;90,96;91,19;91,7;92,04;91,93;92,12;92,82;93,14;93,64;93,99;93,77;93,73;93,67;93,62;93,17;92,95;92,56;92,92;93,1;93,24;93,39;93,51;93,09;93,57;93,34;93,43;93,55;93,8;93,55;94,11;94,58;94,83;94,93;94,92;94,63;94,85;94,78;94,91;95,03;95,44;95,2;95,65;96,45;96,77;96,83;96,91;96,46;96,97;96,9;97,14;97,41;97,8;97,45;97,86;98,69;98,81;98,76;98,79;98,34;99,01;98,77;98,95;98,79;99,1;98,58;98,87;99,63;99,48;99,54;99,7;99,39;99,85;99,63;99,51;99,46;99,8;99,22;99,79;100,24;100,2;100,23;100,19;99,85;100,3;99,92;99,96;99,78;99,86;98,85;99,52;100,18;100,29;100,53;100,45;100,02;100,35;99,95;100,02;99,82;100,04;99,06;99,33;100,04;100,1;100,52;100,64;100,24;100,59;100,35;100,39;100,37;100,66;100,4;100,54;101,19;101,28;101,33;101,34;100,97;101,52;101,36;101,46;101,56;101,86;101,76;101,73;102,78;102,95;103,39;103,4;103,29;103,81;103,59;103,71;103,48;103,49;103,03;103,09;103,93;104,26;104,36;104,62;104,41;104,89;104,55;104,5;104,56;105,01;104,57;104,55;104,62;104,59;104,76;104,85;105,23;105,13;104,6;104,57;104,78;105;105,15;105,16
Fran;AHT;Alimentation hors tabac;76,7;76,98;76,96;77,58;77,92;77,93;77,75;77,67;77,86;78,13;78,66;78,75;79,26;79,54;80,47;81,29;82,69;82,74;82,83;82,09;82,21;82,5;82,31;82,61;84,07;83,8;83,78;83,92;84,21;84,18;83,7;83,25;83,35;83,57;83,6;83,72;84,49;84,86;85,22;85,54;85,51;86,22;85,9;85,78;86,45;86,11;86,01;85,73;86,26;85,89;86,44;86,83;87,08;87,48;86,59;85,28;85,4;85,41;85,57;85,76;85,76;86,22;86,98;86,65;87,01;86,8;86,14;85,52;85,56;85,71;86;86,33;86,73;87,14;87,24;87,43;88,01;88,02;87,8;87,4;87,72;87,44;88;87,84;88,12;87,75;87,68;88,39;88,81;89,16;88,53;88,41;88,86;89,32;89,93;90,51;91,8;91,97;92,36;93;93,92;94,09;94,16;93;93,06;93,51;93,34;93,39;93,96;94;93,84;93,93;94,24;93,71;93,04;92,36;92,78;93,19;93,24;93,11;94,01;94,08;94,42;94,79;95,04;94,88;94,36;93,51;93,52;93,61;94,05;94,22;94,07;94,35;95,17;95,32;96,3;96,55;96,39;96,24;96,43;96,79;97,06;97,34;97,41;97,96;98,67;98,67;99,24;99,64;99,02;98,51;98,72;99,57;99,57;99,56;99,47;99,56;100,04;100,35;100,99;101,44;100,75;100,29;99,81;99,72;99,81;99,93;99,81;99,67;99,87;99,73;100,07;99,84;99,3;98,74;99,18;99,56;99,54;99,48;99,55;99,73;99,96;99,98;100,44;100,19;99,65;99,54;100,05;100,55;100,34;100,03;99,93;99,88;100,34;100,34;101,41;100,76;100,87;101,04;100,52;100,46;100,6;100,74;101,2;101,46;101,16;101,09;101,84;101,55;101,61;101,67;101,59;102,02;102,09;102,08;102,39;102,23;102,6;102,67;103,62;103,43;103,57;103,87;104,47;104,31;104,11;104,69;105,24;105,41;105,19;105,25;105,99;106,11;106,68;107,18;106,64;106,16;106,28;106,89;107,33;107,28;107,21;109,19;109,72;108,91;107,86;108,11;107,57;107,74;108,43;108,01;108,43;108,21
Fran;PF;Produits frais;68,23;69,18;68,56;71,79;73,27;73,14;69,49;67,55;68,97;69,59;72;71,34;72,28;71,31;74,77;76,87;84,06;82,94;80,92;72,88;73,52;75,4;73,45;75,29;85,86;83,6;83,62;83,95;84,6;83,86;79,33;74,14;75,57;76,91;76,05;76,2;81,08;82,25;84,2;85,52;84,33;88,47;84,45;82,19;86,94;83,84;81,83;79,68;82,41;78,71;81,76;84,16;85,64;87,96;80,19;70,17;75,26;76,01;77,05;79,08;79,43;82,11;87,96;85,69;88,17;86,46;80,45;74,86;75,54;76,64;78,32;80,63;82,76;84,41;84,23;85,21;89;89,07;85,99;82,2;84,99;82,89;85,34;83,64;86,11;83,9;83,59;88,61;91,23;93,2;87,2;83,63;86,13;87,02;87,3;86,31;88,75;85,39;86,5;89,49;95,07;96,62;95,13;83,83;85,01;88,22;85,65;85;89,04;88,9;87,82;88,78;91;87,44;81,87;75,59;79,17;82,4;83,45;83,02;89,64;89,41;92,73;95,26;97,26;97,48;93,09;85,84;87;87,62;89,5;91,1;89,34;90,46;93,11;91,27;94,45;93,63;89,51;86,22;87,04;88,45;88,71;89,49;87,95;90,65;95,81;95,21;98,18;101,04;95,54;90,79;93,01;97,63;96,45;96,42;95,35;95,65;98,92;101,18;105,82;108,53;102,74;97,75;95,24;95,17;95,31;96,88;95,35;94,38;95,61;94,74;97,62;96,77;93,23;88,74;93,2;96,72;96,17;96,19;96,93;98,25;100,63;100,65;103,94;101,81;97,47;95,93;100,2;103,64;101,47;99,08;98,73;98,56;102,13;101,99;109,86;105,33;105,94;106,47;103,72;103,58;103,69;104,69;107,62;109,55;106,9;105,58;109,39;106,91;106,34;105,63;105,33;108,25;107,3;107,33;109,37;107,82;109,64;109,53;114,75;113,1;112,98;112,84;117,19;115,79;112,8;115,82;118,69;117,11;114,38;113,69;117,45;117,42;120,74;122,47;119,42;115,54;115,21;118,22;121,44;120,74;119,65;134,11;137,88;131,43;123,43;124,32;122,2;124,45;128,26;125,56;127,71;125,42
Fran;APA;Autres produits alimentaires;78,03;78,2;78,27;78,47;78,63;78,66;79,04;79,26;79,25;79,46;79,69;79,91;80,34;80,82;81,34;81,96;82,42;82,66;83,09;83,53;83,57;83,6;83,69;83,74;83,73;83,78;83,75;83,86;84,09;84,18;84,35;84,67;84,55;84,6;84,77;84,89;85;85,24;85,36;85,52;85,67;85,84;86,11;86,32;86,34;86,44;86,64;86,67;86,84;87;87,15;87,24;87,29;87,38;87,58;87,64;86,97;86,87;86,89;86,8;86,74;86,86;86,83;86,8;86,83;86,85;87,02;87,16;87,1;87,11;87,19;87,21;87,32;87,54;87,68;87,74;87,81;87,8;88,05;88,2;88,12;88,14;88,38;88,48;88,4;88,33;88,29;88,32;88,39;88,48;88,71;89,14;89,25;89,65;90,31;91,14;92,26;92,97;93,24;93,53;93,74;93,7;94;94,39;94,28;94,31;94,51;94,66;94,7;94,76;94,75;94,7;94,72;94,65;94,74;94,92;94,86;94,83;94,73;94,64;94,66;94,78;94,66;94,7;94,68;94,47;94,54;94,67;94,51;94,51;94,73;94,68;94,79;94,93;95,46;95,92;96,56;96,98;97,44;97,79;97,88;98,07;98,35;98,55;98,87;99,09;99,1;99,19;99,38;99,4;99,54;99,7;99,6;99,86;100,04;100,03;100,09;100,15;100,21;100,23;100,27;100,38;100,46;100,68;100,5;100,4;100,48;100,38;100,48;100,47;100,51;100,48;100,43;100,31;100,21;100,23;100,07;99,99;100,04;99,98;99,95;99,96;99,86;99,87;99,92;99,94;99,97;100,08;100,02;100,09;100,17;100,17;100,11;100,08;100,06;100,08;100,07;100,03;100,06;100,18;100,01;99,96;100,11;100,11;100,16;100,15;100,24;100,37;100,62;100,69;100,86;101,04;101;101,01;101,25;101,23;101,26;101,34;101,46;101,57;101,8;101,86;102,04;102,41;102,38;102,43;102,69;102,87;103,04;103,5;103,68;103,86;104,12;104,26;104,39;104,69;104,56;104,62;104,8;105,04;105,06;105,1;105,19;105,29;105,34;105,37;105,37;105,52;105,22;105,08;105,3;105,22;105,39;105,47
Fran;T;Tabac (s?rie COICOP);42,37;42,37;42,36;42,36;42,36;42,36;42,36;42,36;42,36;42,36;42,36;42,36;43,99;44,46;44,46;44,46;44,46;44,46;44,46;44,46;44,46;44,46;44,46;44,46;48,15;48,15;48,22;48,23;48,23;48,2;48,09;48,09;48,09;48,06;48,06;48,06;52,5;53,36;53,36;53,25;53,23;53,23;53,23;53,23;53,23;56,87;62,63;62,63;67,96;68,75;68,75;68,71;68,71;68,71;68,71;68,71;68,69;68,59;68,59;68,59;68,59;68,66;68,67;68,83;68,85;68,85;69;69,07;69,07;69,07;69,07;69,07;69,07;69,07;69,07;69,07;69,1;69,15;69,15;69,14;69,14;69,14;69,14;69,14;69,14;69,14;69,14;69,14;69,14;69,14;69,14;72,73;73,42;73,42;73,42;73,42;73,44;73,44;73,44;73,45;73,45;73,45;73,45;73,63;73,86;73,86;73,86;73,86;73,86;73,86;73,86;73,86;73,86;73,86;73,88;73,91;73,91;73,91;77,03;78,16;78,25;78,2;78,2;78,19;78,19;78,19;78,1;78,09;78,09;78,09;81,48;82,51;82,51;82,52;82,52;82,5;82,5;82,5;82,5;82,5;82,5;84,73;87,11;87,11;87,13;87,13;87,13;87,14;87,14;87,14;87,2;87,25;87,25;93,13;93,13;93,13;93,19;93,2;93,2;93,28;93,29;93,29;94,99;96,39;96,39;96,39;96,39;96,39;98,46;99,76;99,76;99,76;99,76;99,76;99,78;99,79;99,79;99,79;99,79;99,79;99,79;99,79;100,04;100,04;100,04;100,04;100,04;100,04;100,04;100,04;100,04;100,04;100,04;100,04;100,06;100,09;100,09;100,09;100,13;100,16;100,16;100,16;100,16;100,16;100,16;101,05;102,92;102,92;102,69;102,5;102,5;102,5;102,5;102,5;104,59;106,19;105,95;105,94;120,05;120,05;119,24;119,24;119,74;119,78;119,81;119,79;119,76;119,76;120,79;120,79;129,74;129,74;130,06;130,06;130,3;130,3;130,34;130,34;138,29;138,29;138,37;138,37;147,66;147,66;148,27;148,27;148,36;148,36;148,34;148,34;155,67;155,56;156,06;156,09
Fran;PM;Produits manufactur?s;99,94;99,58;100,67;100,53;100,57;100,65;99,28;100,09;100,74;100,92;100,89;100,97;100,02;100,2;101,18;101,32;101,48;101,46;100,18;101,01;101,61;101,77;101,5;101,71;100,94;101,02;101,96;102,01;102,16;102,1;100,94;101,42;102,12;102,17;102,03;102,21;100,7;101,83;102,28;102,31;102,38;102,23;100,92;101,46;102,38;102,68;102,4;102,6;100,8;101,93;102,4;102,6;102,66;102,52;100,91;101,87;102,54;102,59;102,54;102,51;100,98;101,32;102,16;102,35;102,31;102,16;100,19;101,18;101,98;102,01;101,93;101,88;100,67;100,86;101,54;101,88;101,94;101,85;99,86;100,76;101,47;101,45;101,54;101,7;100,26;100,5;101,54;101,77;101,89;101,79;99,94;100,85;101,52;101,64;101,88;102,05;100,54;100,8;102,04;102,03;102,04;102,03;100,02;101,09;102,08;102,08;102,16;102,16;100,57;100,92;102,16;102,13;102,19;102,01;100,18;101,63;101,96;101,81;101,74;102;100,06;101,22;102,03;101,91;101,89;101,89;100,19;101,22;101,99;101,8;101,64;101,83;100,24;100,27;101,55;102,12;102,05;102,08;99,4;101,02;102,15;102,42;102,42;102,87;100,87;100,99;102,86;102,99;103,07;103,14;100,32;101,53;102,95;102,73;102,88;103,06;100,6;100,77;102,81;102,72;102,72;102,67;99,76;100,89;102,23;102,24;102,36;102,41;99,33;100,66;101,99;102;101,88;101,43;98,47;100,33;101,54;101,4;101,1;101,17;97,9;98,9;100,92;101,02;101,19;100,72;97,58;99,16;100,64;100,64;100,52;100,83;97,78;98,78;100,7;100,41;100,53;100,23;97,26;98,69;100;100;99,9;99,86;97,45;97,18;99,66;99,74;99,85;99,91;96,89;98,01;99,55;99,74;99,66;99,76;97,48;97,22;99,36;99,4;99,67;99,66;96,81;97,95;99,31;99,34;99,38;99,21;97,08;96,75;98,79;98,87;99,02;99,01;96,2;97,05;98,55;98,84;98,75;98,95;96,75;97;98,38;98,36;98,31;98;98,01;96,8;98,39;98,76;98,41;97,99;97,56;96,64
Fran;HC;Habillement et chaussure;91,76;89,71;94,87;95,19;95,07;95,24;88,79;92,51;95,53;95,5;95,34;95,5;90,76;90,83;95,37;95,64;95,52;95,67;89,96;92,87;96,14;96,4;95,89;96,33;91,85;91,69;96,35;96,59;96,6;96,84;91,08;92,55;96,7;96,89;96,74;96,95;89,38;93,88;96,46;96,13;96,15;96,06;88,84;91,54;96,76;96,9;96,65;96,87;88,09;92,66;96,59;96,67;96,91;96,26;88,9;93,17;96,95;97,32;97,15;97,29;90,96;91,09;96,37;96,86;97,05;97,2;88,84;92,96;96,98;97,21;97,05;97,29;90,79;90,25;96,46;96,98;97,13;97,39;88,96;92,78;97,01;97,76;97,74;97,88;90,65;90,94;97,3;97,54;97,86;98,17;89,1;93,44;97,87;98,46;98,32;98,59;91,17;91,52;97,84;98,4;98,63;98,97;89,36;93,69;98,44;98,86;98,86;99,23;91,69;92,99;98,64;99,16;99,16;98,35;89,76;97,15;99,81;99,79;99,77;100,07;89,9;95,32;99,19;99,76;99,72;100,08;90,89;96,55;99,96;100,05;99,65;100,26;92,12;90,25;97,73;100,86;101,03;99,95;86,26;95;100,11;102,44;102,71;103,34;91,88;92,04;103,02;103,43;103,45;104,07;89,52;95,75;103,67;104,06;104,02;104,64;92,52;92,26;103,8;104,4;104,88;105,1;90,87;97,36;104,65;104,86;104,78;105,4;88,82;94,63;104,43;104,98;105,11;103,48;89,24;98,95;105,24;105,18;105,07;105,67;87,96;92,11;103,98;104,49;105,18;102,97;87,75;96,62;104,31;104,54;104,62;105,46;87,46;92,87;104,26;104,46;105,36;103,5;88,37;96,32;104,28;104,84;104,83;105,41;92,02;90,12;103,5;104,35;104,84;105,3;89,23;95,07;103,62;104,4;104,58;105,33;92,49;91,08;103,03;103,76;104,7;105;90;95,86;104,23;104,35;104,4;105;92,87;91,85;102,63;103,58;103,93;104,04;90,36;94,5;102,95;104,51;104,28;104,66;92,62;93,71;102,76;102,66;101,11;99,85;99,76;92,81;101,62;103,49;102,26;101,06;96,1;90,8
Fran;PS;Produits de sant?;131,75;131,76;131,78;131,81;131,69;131,68;131,7;131,7;131,75;131,61;131,22;131,1;130,98;131,08;130,79;130,81;130,8;130,69;130,64;130,72;130,65;130,65;129,47;129,07;129;129,16;129,24;129,25;129,44;129,45;129,44;129,7;129,72;129,47;129,3;129,31;129,33;129,36;129,34;129,29;129,2;129,12;129,1;129,32;128,82;129,03;128,95;128,9;128,69;128,63;127,96;128,03;128,04;128,08;128,07;127,9;127,92;127,91;127,93;127,87;127,6;127,44;127,52;127,52;127,5;127,35;126,98;126,84;126,76;126,51;126,42;126,26;125,89;125,96;123,48;123,37;123,39;123,37;122,78;122,76;122,52;122,4;122,36;122,11;121,83;121,85;121,29;121,17;121,16;121,16;121,08;120,86;120,82;120,78;120,43;120,38;120,1;120,03;120,02;119,81;119,54;118,82;118,79;118,7;118,67;118,64;118,51;118,21;117,57;117,32;117,32;117,15;117,05;117,04;116,94;116,73;116,67;116,53;116,26;116,1;116,08;116,03;115,98;115,27;115,22;114,89;114,83;114,84;114,83;114,14;114,07;114,02;113,93;113,61;113,6;113,52;113,34;113,32;113,32;113,06;113,09;113;112,68;112,55;112,63;112,12;111,47;111,13;110,46;110,09;109,96;109,86;109,64;109,55;109,37;109,01;107,99;107,83;107,76;106,49;106,55;106,44;106,38;106,23;106,23;106,21;105,81;105,68;105,1;104,96;104,49;104,01;103,76;103,49;103,15;103,18;103,15;103,16;102,62;102,47;102,09;101,8;101,1;101;100,55;99,83;99,47;99,26;99,28;98,79;98,43;98,4;98,28;98,07;97,88;97,37;97,06;96,97;96,75;96,58;96,57;96,31;96,12;95,99;95,88;95,67;95,43;95,1;94,97;94,9;94,81;94,66;94,76;94,7;94,59;94,28;93,89;93,41;93,12;92,83;92,78;92,83;92,75;92,55;92,59;92,53;92,51;91,42;91,21;90,55;90,59;90,48;90,1;89,95;89,79;89,81;89,77;89,7;89,7;89,66;89,37;88,42;88,43;88,31;88,21;88,01;88,1;88,06;88,07;88,07;88,39;88,34;88,16;87,83
Fran;AMP;Autres produits manufactur?s;95,91;95,93;96,12;95,85;95,96;96,01;95,76;95,93;96,07;96,34;96,38;96,47;96,33;96,55;96,82;96,94;97,19;97,14;96,78;97,19;97,24;97,39;97,3;97,54;97,54;97,66;97,85;97,86;98,04;97,9;97,65;97,92;97,92;97,98;97,85;98,04;97,7;98,22;98,24;98,37;98,47;98,31;98,15;98,24;98,4;98,74;98,42;98,66;98,19;98,72;98,6;98,85;98,87;98,82;98,25;98,64;98,72;98,71;98,67;98,6;98,02;98,5;98,4;98,55;98,44;98,23;97,54;97,96;98,13;98,15;98,1;97,99;97,92;98,31;98,22;98,6;98,64;98,46;97,77;98,14;98,16;97,96;98,11;98,34;98,05;98,31;98,4;98,68;98,79;98,57;98,09;98,39;98,32;98,36;98,8;98,98;98,57;98,87;99,19;99,09;99,11;99,15;98,49;99,04;99,37;99,28;99,41;99,38;98,92;99,17;99,67;99,56;99,66;99,59;98,9;99,37;99,27;99,08;99,04;99,37;98,83;99,3;99,62;99,47;99,46;99,44;99,04;99,27;99,63;99,47;99,34;99,49;99,01;99,51;99,71;99,85;99,76;100,04;99,19;99,65;100,14;100,04;100,04;100,56;100,22;100,45;100,84;101;101,26;101,28;100,49;100,87;101,2;100,82;101,08;101,27;100,81;101,17;101,41;101,42;101,3;101,18;100,34;100,48;100,7;100,66;100,95;100,91;100,44;101,05;100,81;100,8;100,65;100,44;99,54;99,96;100,26;100,06;99,78;99,77;99,23;99,81;100,14;100,2;100,39;100,4;99,46;99,75;100,1;100,16;100,05;100,32;99,8;100,14;100,53;100,2;100,26;100,24;99,22;99,65;99,83;99,79;99,69;99,54;99,1;99,19;99,82;99,84;99,92;99,92;99,18;99,53;99,8;99,92;99,8;99,85;99,44;99,51;100,08;100,05;100,24;100,15;99,3;99,73;99,87;99,9;99,96;99,84;99,4;99,3;99,95;99,9;100,14;100,14;99,01;99,35;99,75;99,85;99,77;99,99;99,38;99,77;99,89;99,91;100,2;100,06;100,08;99,77;100,24;100,4;100,05;99,7;100,12;99,91
